male,preschool,expectBachelors,motherHS,motherBachelors,motherWork,fatherHS,fatherBachelors,fatherWork,selfBornUS,motherBornUS,fatherBornUS,englishAtHome,computerForSchoolwork,read30MinsADay,minutesPerWeekEnglish,studentsInEnglish,schoolHasLibrary,publicSchool,urban,schoolSize,readingScore,cat_raceeth_Asian,cat_raceeth_Black,cat_raceeth_Hispanic,cat_raceeth_More than one race,cat_raceeth_Native Hawaiian/Other Pacific Islander,cat_raceeth_White,readingScorePercentile
0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,23,1.0,1,1,2640,458.11,0,1,0,0,0,0,0.3158331030671456
1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,250,35,1.0,1,1,1095,613.89,0,0,1,0,0,0,0.8853274385189279
1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,300,20,1.0,1,0,227,490.59,0,1,0,0,0,0,0.44114396242055814
0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,250,28,1.0,1,1,2080,604.36,1,0,0,0,0,0,0.8581099751312518
0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,300,30,1.0,1,0,1913,439.36,0,0,0,0,0,1,0.2439900525006908
1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,294,24,1.0,1,0,899,465.9,0,0,0,1,0,0,0.3481624758220503
1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,273,15,1.0,1,0,389,474.48,0,0,0,1,0,0,0.37883393202542137
0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,232,14,1.0,1,0,1733,508.95,0,0,1,0,0,0,0.5192042000552639
0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,200,12,0.0,1,0,300,424.11,0,0,0,1,0,0,0.2006079027355623
0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225,20,1.0,1,0,149,646.38,0,0,0,0,0,1,0.9400386847195358
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,270,25,1.0,1,1,1400,403.77,0,0,1,0,0,0,0.14714009394860458
0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250,12,1.0,1,0,854,547.32,0,0,0,0,0,1,0.6764299530256977
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,315,40,1.0,1,1,2999,569.32,0,0,0,0,0,1,0.7546283503730312
